short_name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,work_rate,player_tags,team_position,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits
L. Messi,32,170,72,Argentina,FC Barcelona,94,94,Left,Medium/Low,"#Dribbler, #Distance Shooter, #Crosser, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",RW,2004-07-01,2021,,,87,92,92,96,39,66,"Beat Offside Trap, Argues with Officials, Early Crosser, Finesse Shot, Speed Dribbler (CPU AI Only), 1-on-1 Rush, Giant Throw-in, Outside Foot Shot"
Cristiano Ronaldo,34,187,83,Portugal,Juventus,93,93,Right,High/Low,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,2018-07-10,2022,LS,7,90,93,82,89,35,78,"Long Throw-in, Selfish, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Skilled Dribbling"
Neymar Jr,27,175,68,Brazil,Paris Saint-Germain,92,92,Right,High/Medium,"#Speedster, #Dribbler, #Playmaker  , #Crosser, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",CAM,2017-08-03,2022,LW,10,91,85,87,95,32,58,"Power Free-Kick, Injury Free, Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite"
J. Oblak,26,188,87,Slovenia,Atlético Madrid,91,93,Right,Medium/Medium,,GK,2014-07-16,2023,GK,1,,,,,,,"Flair, Acrobatic Clearance"
E. Hazard,28,175,74,Belgium,Real Madrid,91,91,Right,High/Medium,"#Speedster, #Dribbler, #Acrobat",LW,2019-07-01,2024,LF,10,91,83,86,94,35,66,"Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
K. De Bruyne,28,181,70,Belgium,Manchester City,91,91,Right,High/High,"#Dribbler, #Playmaker  , #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",RCM,2015-08-30,2023,RCM,7,76,86,92,86,61,78,"Power Free-Kick, Avoids Using Weaker Foot, Dives Into Tackles (CPU AI Only), Leadership, Argues with Officials, Finesse Shot"
M. ter Stegen,27,187,85,Germany,FC Barcelona,90,93,Right,Medium/Medium,,GK,2014-07-01,2022,SUB,22,,,,,,,"Swerve Pass, Acrobatic Clearance, Flair Passes"
V. van Dijk,27,193,92,Netherlands,Liverpool,90,91,Right,Medium/Medium,"#Tackling , #Tactician , #Strength, #Complete Defender",LCB,2018-01-01,2023,LCB,4,77,60,70,71,90,86,"Diver, Avoids Using Weaker Foot, Leadership, Long Passer (CPU AI Only)"
L. Modrić,33,172,66,Croatia,Real Madrid,90,90,Right,High/High,"#Dribbler, #Playmaker  , #Crosser, #Acrobat, #Complete Midfielder",RCM,2012-08-01,2020,,,74,76,89,89,72,66,"Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
M. Salah,27,175,71,Egypt,Liverpool,90,90,Left,High/Medium,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",RW,2017-07-01,2023,RW,10,93,86,81,89,45,74,"Beat Offside Trap, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot"
